S.No,Status,Start_Date,End_Date,Expiration_Date,Last_Date,Input_Start_Date,Input_End_Date,Delivery_Start_Date,Delivery_End_Date,Delivery_Last_Date,Pricing_Date
1,Sell,26-Jan-24,31-03-2024,26-02-2024,26-Jan-24,11-03-2024,26-02-2024,21-12-2023,01-03-2024,02-04-2024,26-Jan-24
2,Buy,21-Dec-23,31-01-2024,21-12-2023,21-Dec-23,11-12-2024,27-12-2023,28-11-2024,01-01-2024,31-01-2024,21-Dec-23
3,Buy,27-Mar-25,30-06-2025,27-03-2025,27-Mar-25,21-04-2025,27-12-2024,26-02-2024,01-04-2025,30-06-2025,27-Mar-25
4,Sell,27-Dec-23,31-12-2024,27-12-2023,27-Dec-23,16-07-2024,27-12-2023,27-12-2023,01-01-2024,27-12-2023,27-Dec-23
5,Buy,29-Apr-24,30-04-2024,29-04-2024,29-Apr-24,22-04-2024,26-03-2024,09-01-2023,01-04-2024,30-04-2024,29-Apr-24
6,Buy,27-Dec-24,31-12-2025,27-12-2024,27-Dec-24,01-01-2025,21-12-2023,21-02-2023,01-01-2025,31-12-2025,27-Dec-24
7,Sell,21-Dec-23,28-02-2023,27-12-2023,21-Dec-23,01-02-2023,28-11-2024,29-05-2023,01-02-2023,20-03-2023,21-Dec-23
8,Buy,26-Mar-24,30-06-2024,26-03-2024,26-Mar-24,01-02-2023,26-02-2024,19-05-1985,01-02-2023,20-03-2023,26-Mar-24
9,Buy,27-Dec-23,28-02-2023,21-12-2023,27-Dec-23,21-04-2024,27-12-2023,27-04-2023,01-04-2024,26-03-2024,27-Dec-23
10,Buy,26-Jan-24,29-11-2024,28-11-2024,26-Jan-24,21-02-2023,01-02-2023,17-04-2020,01-02-2023,20-03-2023,26-Jan-24
11,Sell,13-Dec-23,30-06-2023,26-02-2024,13-Dec-23,11-02-2023,01-02-2023,28-04-2021,01-02-2023,20-03-2023,13-Dec-23
12,Buy,18-Mar-25,31-12-2024,27-12-2023,18-Mar-25,01-11-2024,01-11-2024,24-10-2024,01-11-2024,29-11-2024,18-Mar-25
13,Sell,27-Dec-23,31-12-2024,15-05-2023,27-Dec-23,01-04-2023,01-04-2023,01-04-2023,01-04-2023,22-05-2023,27-Dec-23
14,Buy,29-Apr-24,31-07-2023,15-05-2023,29-Apr-24,15-03-2023,01-05-2023,01-05-2023,01-05-2023,20-06-2023,29-Apr-24
15,Buy,21-Dec-24,30-06-2023,27-12-2023,21-Dec-24,01-01-2024,01-06-2023,01-06-2023,01-06-2023,20-07-2023,21-Dec-24
16,Buy,31-Dec-23,28-02-2023,27-09-2024,31-Dec-23,01-01-2024,01-04-2023,01-04-2023,01-04-2023,22-05-2023,31-Dec-23
17,Buy,12-Mar-24,31-07-2023,26-09-2024,12-Mar-24,29-04-2024,01-05-2023,26-02-2024,01-05-2023,20-06-2023,12-Mar-24
18,Sell,20-Dec-23,31-07-2023,28-06-2023,20-Dec-23,01-02-2023,01-06-2023,27-12-2023,01-06-2023,20-07-2023,20-Dec-23
19,Sell,26-Feb-24,30-06-2023,27-12-2023,26-Feb-24,01-02-2023,01-01-2024,27-12-2024,01-01-2024,27-12-2023,26-Feb-24
20,Sell,21-Oct-23,31-12-2024,27-02-2025,21-Oct-23,21-12-2023,01-01-2024,27-12-2023,01-01-2024,20-02-2024,21-Oct-23
21,Buy,27-May-25,31-12-2024,27-12-2024,27-May-25,28-11-2024,01-02-2024,26-03-2024,01-02-2024,20-03-2024,27-May-25
22,Sell,27-Dec-23,30-06-2023,27-12-2023,27-Dec-23,26-02-2024,01-03-2024,21-12-2023,01-03-2024,22-04-2024,27-Dec-23
