Id,dept_Id,SubDept_Id,Vehicle_Id,Vehicle_Profile_Id,Description,Vehicle_Price_Id,Vehicle_Showroom_Price,Vehicle_Showroom_Delta,Vehicle_Showroom_Payment_Date,Currency,Target_Currency,Average,Increment,Target_Simulation_Id
257,257,1,1,0,Baleno,6,72567.98,5678.01,2/20/2023,INR,INR,2381.657773,0,1071
264,264,1,0,0,Engine_Base,90,91768.98,12678.01,6/30/2025,INR,INR,553.8461539,0,1063
265,265,1,0,0,Baleno,83,8400.123,1450.01,12/27/2023,INR,INR,-7199.999999,0,1065
266,266,1,0,0,Engine_Base,76,77345.665,3456.01,4/30/2024,INR,INR,7200,0,1063
267,267,1,0,0,Suzuki Swift,96,974567.11,110.01,12/31/2025,INR,INR,1404.878049,0,1063
268,268,1,1,0,Suzuki Swift,48,49,0.01,3/20/2023,INR,INR,834.1253,0,1068
270,270,1,0,0,Wagon R,76,77345.665,3456.01,3/26/2024,INR,INR,7200,0,1065
271,271,1,0,0,Engine_Base,34,35,12340.0123,3/20/2023,INR,INR,1668.2506,0,1068
272,272,1,1,0,Creta,29,30,12340.0123,3/20/2023,INR,INR,-2383.215143,0,1071
277,277,1,0,0,Brezza,73,74567.34567,3456.01,12/28/2023,INR,INR,7440,0,1065
285,285,1,0,0,Ertiga,83,8400.123,1450.01,11/29/2024,INR,INR,2520,0,1063
292,292,1,1,1,Grand Vitara,7,230.9960486,1289.0001,6/20/2023,INR,INR,-1013501.197,424612.4066,1068
293,293,1,0,0,Verna,81,82123,1450.01,12/27/2023,INR,INR,300,0,1065
295,295,1,0,1,Grand Vitara,9,2120.994668,1289.0001,3/20/2024,INR,INR,1082123.228,-889778.7891,1068
298,298,1,0,0,Engine_Base,28,29,12340.0123,3/20/2023,INR,INR,1668.2506,0,1068
307,307,1,0,0,Engine_Base,64,65,0.01,5/22/2023,INR,INR,50155.411,0,1068
309,309,1,0,0,Engine_Base,47,48,0.01,3/20/2023,INR,INR,1429.929086,0,1068
310,310,1,0,0,Engine_Base,53,543456.1234,134560.01,3/20/2023,INR,INR,1429.929086,0,1068
311,311,1,0,1,Grand Vitara,6,54670.9942,1289.0001,4/20/2023,INR,INR,265906.7505,-57499.52979,1068
312,312,1,1,0,Grand Vitara,7,56432.60486,1289.0001,5/22/2023,INR,INR,-523077.7015,134409.9175,1068
313,313,1,0,11,Suzuki Swift,84,853456.765,12678.01,1/20/2025,INR,INR,-15922.9846,0,1068
314,314,1,0,5,Grand Vitara,10,6789900.995,1289.0001,7/22/2024,INR,INR,-4342930.376,4761447.664,1068
342,342,1,1,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,INR,INR,219695.6602,-9871.460497,1071
346,346,1,1,9,Grand Vitara,9,789.6797,1289.0001,11/20/2024,INR,INR,-814291.5441,107770.5994,1071
354,354,1,2,0,Grand Vitara,4,14567.3,1234.156,2/20/2023,INR,INR,1637.389719,-75.04713722,1071
357,357,1,2,0,Seltos,48,49,0.01,3/20/2023,INR,INR,-99.30063095,0,1071
364,364,1,2,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,INR,INR,219695.6602,-9871.460497,1071
372,372,1,2,2,Grand Vitara,9,789.6797,1289.0001,4/19/2024,INR,INR,4144304.343,-3057563.119,1071
394,394,8,1,0,Grand Vitara,5,2953456.992,10.01,2/7/2023,INR,INR,-2392.895,98751.167,1071
398,398,1,1,0,Grand Vitara,7,56432.60486,1289.0001,4/11/2023,INR,INR,-1343.606266,37.52647899,1071
