Id,dept_Id,SubDept_Id,status,Description,After_Market_Price,on_road_price,invoice_date,Average,Increment,Target_Id,report_dt
1,101,1,Sell,Baleno,72567.98,5678.01,2/20/2023,2381.657773,0,1071,2024-01-01
2,102,1,Buy,Engine_Base,91768.98,12678.01,6/30/2025,553.8461539,0,1063,2024-01-01
3,103,1,Buy,Baleno,8400.123,1450.01,12/27/2023,-7199.999999,0,1065,2024-01-01
4,104,1,Sell,Engine_Base,77345.665,3456.01,4/30/2024,7200,0,1063,2024-01-01
5,105,1,Buy,Suzuki Swift,974567.11,110.01,12/31/2025,1404.878049,0,1063,2024-08-02
6,106,1,Buy,Suzuki Swift,49,0.01,3/20/2023,834.1253,0,1068,2024-02-01
7,107,1,Sell,Wagon R,77345.665,3456.01,3/26/2024,7200,0,1065,2024-02-01
8,108,1,Buy,Engine_Base,35,12340.0123,3/20/2023,1668.2506,0,1068,2024-02-01
9,109,1,Buy,Creta,30,12340.0123,3/20/2023,-2383.215143,0,1071,2024-02-01
10,110,1,Buy,Brezza,74567.34567,3456.01,12/28/2023,7440,0,1065,2024-03-01
11,111,1,Sell,Ertiga,8400.123,1450.01,11/29/2024,2520,0,1063,2024-03-01
12,112,1,Buy,Grand Vitara,230.9960486,1289.0001,6/20/2023,-1013501.197,424612.4066,1068,2024-03-01
13,113,1,Sell,Verna,82123,1450.01,12/27/2023,300,0,1065,2024-03-01
14,114,1,Buy,Grand Vitara,2120.994668,1289.0001,3/20/2024,1082123.228,-889778.7891,1068,2024-04-05
15,115,1,Buy,Engine_Base,29,12340.0123,3/20/2023,1668.2506,0,1068,2024-04-05
16,116,1,Buy,Engine_Base,65,0.01,5/22/2023,50155.411,0,1068,2024-04-05
17,117,1,Buy,Engine_Base,48,0.01,3/20/2023,1429.929086,0,1068,2024-08-02
18,118,1,Sell,Engine_Base,543456.1234,134560.01,3/20/2023,1429.929086,0,1068,2024-08-02
19,119,1,Sell,Grand Vitara,54670.9942,1289.0001,4/20/2023,265906.7505,-57499.52979,1068,2024-08-02
20,120,1,Sell,Grand Vitara,56432.60486,1289.0001,5/22/2023,-523077.7015,134409.9175,1068,2024-05-05
21,121,1,Buy,Suzuki Swift,853456.765,12678.01,1/20/2025,-15922.9846,0,1068,2024-05-05
22,122,1,Sell,Grand Vitara,6789900.995,1289.0001,7/22/2024,-4342930.376,4761447.664,1068,2024-05-05
23,123,1,Buy,Grand Vitara,54670.9942,1289.0001,6/20/2023,219695.6602,-9871.460497,1071,2024-05-05
24,124,1,Buy,Grand Vitara,789.6797,1289.0001,11/20/2024,-814291.5441,107770.5994,1071,2024-05-05
25,125,1,Buy,Grand Vitara,14567.3,1234.156,2/20/2023,1637.389719,-75.04713722,1071,2024-06-05
26,126,1,Buy,Seltos,49,0.01,3/20/2023,-99.30063095,0,1071,2024-06-05
27,127,1,Buy,Grand Vitara,54670.9942,1289.0001,6/20/2023,219695.6602,-9871.460497,1071,2024-06-05
28,128,1,Buy,Grand Vitara,789.6797,1289.0001,4/19/2024,4144304.343,-3057563.119,1071,2024-06-05
29,129,8,Buy,Grand Vitara,2953456.992,10.01,02-07-2023,-2392.895,98751.167,1071,2024-07-05
30,130,1,Buy,Grand Vitara,56432.60486,1289.0001,04-11-2023,-1343.606266,37.52647899,1071,2024-07-05
31,131,1,Sell,Grand Vitara,6789900.995,1289.0001,09-06-2024,-110438.3045,149497.9282,1071,2024-07-05
32,132,1,Sell,Suzuki Swift,66345.789,45678.01,5/16/2023,54,0,1063,2024-07-05
33,133,1,Buy,Ertiga,66345.789,45678.01,5/16/2023,120,0,1063,2024-07-05
34,134,2,Buy,Grand Vitara,2953456.992,10.01,2/20/2023,45523.252,-32209.615,1068,2024-07-05
35,135,2,Buy,Grand Vitara,14567.3,1234.156,2/20/2023,491.8991615,-22.54564606,1068,2024-06-15
36,136,1,Buy,Engine_Base,32,12340.0123,3/20/2023,1277.403417,0,1068,2024-06-15
37,137,1,Sell,Grand Vitara,3894560.999,1289.0001,7/20/2023,-198949.4303,23126.69531,1068,2024-06-15
38,138,1,Buy,Grand Vitara,54670.9942,1289.0001,5/22/2023,-322503.5582,40755.97972,1068,2024-06-15
39,139,1,Sell,Engine_Base,78234.543,1450.01,6/20/2024,-41371.0323,0,1068,2024-06-15
40,140,1,Buy,Suzuki Swift,36,0.01,3/20/2023,74.22327667,0,1068,2024-06-15
41,141,1,Sell,Suzuki Swift,66345.789,45678.01,6/20/2023,-333.7531355,0,1068,2024-02-21
42,142,1,Sell,Engine_Base,33,12340.0123,3/20/2023,-1291.849863,0,1068,2024-02-21
