S.No,Status,Start_Date,End_Date,Expiration_Date,Last_Date,Input_Start_Date,Input_End_Date,Delivery_Start_Date,Delivery_End_Date,Delivery_Start_Date,Pricing_Date
1,Sell,26-Jan-24,31/03/2024,26/02/2024,26-Jan-24,11/3/2024,26/02/2024,21/12/2023,1/3/2024,2/4/2024,26-Jan-24
2,Buy,21-Dec-23,31/01/2024,21/12/2023,21-Dec-23,11/12/2024,27/12/2023,28/11/2024,1/1/2024,31/01/2024,21-Dec-23
3,Buy,27-Mar-25,30/06/2025,27/03/2025,27-Mar-25,21/4/2025,27/12/2024,26/02/2024,1/4/2025,30/06/2025,27-Mar-25
4,Sell,27-Dec-23,31/12/2024,27/12/2023,27-Dec-23,16/7/2024,27/12/2023,27/12/2023,1/1/2024,27/12/2023,27-Dec-23
5,Buy,29-Apr-24,30/04/2024,29/04/2024,29-Apr-24,22/4/2024,26/03/2024,9/1/2023,1/4/2024,30/04/2024,29-Apr-24
6,Buy,27-Dec-24,31/12/2025,27/12/2024,27-Dec-24,1/1/2025,21/12/2023,21/2/2023,1/1/2025,31/12/2025,27-Dec-24
7,Sell,21-Dec-23,28/02/2023,27/12/2023,21-Dec-23,1/2/2023,28/11/2024,29/5/2023,1/2/2023,20/03/2023,21-Dec-23
8,Buy,26-Mar-24,30/06/2024,26/03/2024,26-Mar-24,1/2/2023,26/02/2024,19/5/1985,1/2/2023,20/03/2023,26-Mar-24
9,Buy,27-Dec-23,28/02/2023,21/12/2023,27-Dec-23,21/4/2024,27/12/2023,27/4/2023,1/4/2024,26/03/2024,27-Dec-23
10,Buy,26-Jan-24,29/11/2024,28/11/2024,26-Jan-24,21/2/2023,1/2/2023,17/4/2020,1/2/2023,20/03/2023,26-Jan-24
11,Sell,13-Dec-23,30/06/2023,26/02/2024,13-Dec-23,11/2/2023,1/2/2023,28/4/2021,1/2/2023,20/03/2023,13-Dec-23
12,Buy,18-Mar-25,31/12/2024,27/12/2023,18-Mar-25,1/11/2024,1/11/2024,24/10/2024,1/11/2024,29/11/2024,18-Mar-25
