Id,dept_Id,SubDept_Id,Vehicle_Id,Vehicle_Profile_Id,Description,Vehicle_Price_Id,Vehicle_Showroom_Price,Vehicle_Showroom_Delta,Vehicle_Showroom_Payment_Date,Average,Increment,Target_Simulation_Id
257,257,1,1,0,Baleno,6,72567.98,5678.01,2/20/2023,2381.657773,0,1071
264,264,1,0,0,Engine_Base,90,91768.98,12678.01,6/30/2025,553.8461539,0,1063
265,265,1,0,0,Baleno,83,8400.123,1450.01,12/27/2023,-7199.999999,0,1065
266,266,1,0,0,Engine_Base,76,77345.665,3456.01,4/30/2024,7200,0,1063
267,267,1,0,0,Suzuki Swift,96,974567.11,110.01,12/31/2025,1404.878049,0,1063
268,268,1,1,0,Suzuki Swift,48,49,0.01,3/20/2023,834.1253,0,1068
270,270,1,0,0,Wagon R,76,77345.665,3456.01,3/26/2024,7200,0,1065
271,271,1,0,0,Engine_Base,34,35,12340.0123,3/20/2023,1668.2506,0,1068
272,272,1,1,0,Creta,29,30,12340.0123,3/20/2023,-2383.215143,0,1071
277,277,1,0,0,Brezza,73,74567.34567,3456.01,12/28/2023,7440,0,1065
285,285,1,0,0,Ertiga,83,8400.123,1450.01,11/29/2024,2520,0,1063
292,292,1,1,1,Grand Vitara,7,230.9960486,1289.0001,6/20/2023,-1013501.197,424612.4066,1068
293,293,1,0,0,Verna,81,82123,1450.01,12/27/2023,300,0,1065
295,295,1,0,1,Grand Vitara,9,2120.994668,1289.0001,3/20/2024,1082123.228,-889778.7891,1068
298,298,1,0,0,Engine_Base,28,29,12340.0123,3/20/2023,1668.2506,0,1068
307,307,1,0,0,Engine_Base,64,65,0.01,5/22/2023,50155.411,0,1068
309,309,1,0,0,Engine_Base,47,48,0.01,3/20/2023,1429.929086,0,1068
310,310,1,0,0,Engine_Base,53,543456.1234,134560.01,3/20/2023,1429.929086,0,1068
311,311,1,0,1,Grand Vitara,6,54670.9942,1289.0001,4/20/2023,265906.7505,-57499.52979,1068
312,312,1,1,0,Grand Vitara,7,56432.60486,1289.0001,5/22/2023,-523077.7015,134409.9175,1068
313,313,1,0,11,Suzuki Swift,84,853456.765,12678.01,1/20/2025,-15922.9846,0,1068
314,314,1,0,5,Grand Vitara,10,6789900.995,1289.0001,7/22/2024,-4342930.376,4761447.664,1068
342,342,1,1,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,219695.6602,-9871.460497,1071
346,346,1,1,9,Grand Vitara,9,789.6797,1289.0001,11/20/2024,-814291.5441,107770.5994,1071
354,354,1,2,0,Grand Vitara,4,14567.3,1234.156,2/20/2023,1637.389719,-75.04713722,1071
357,357,1,2,0,Seltos,48,49,0.01,3/20/2023,-99.30063095,0,1071
364,364,1,2,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,219695.6602,-9871.460497,1071
372,372,1,2,2,Grand Vitara,9,789.6797,1289.0001,4/19/2024,4144304.343,-3057563.119,1071
394,394,8,1,0,Grand Vitara,5,2953456.992,10.01,2/7/2023,-2392.895,98751.167,1071
398,398,1,1,0,Grand Vitara,7,56432.60486,1289.0001,4/11/2023,-1343.606266,37.52647899,1071
402,402,1,0,8,Grand Vitara,10,6789900.995,1289.0001,9/6/2024,-110438.3045,149497.9282,1071
414,414,1,0,0,Suzuki Swift,65,66345.789,45678.01,5/16/2023,54,0,1063
415,415,1,0,0,Ertiga,65,66345.789,45678.01,5/16/2023,120,0,1063
417,417,2,1,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,45523.252,-32209.615,1068
419,419,2,0,0,Grand Vitara,4,14567.3,1234.156,2/20/2023,491.8991615,-22.54564606,1068
427,427,1,0,0,Engine_Base,31,32,12340.0123,3/20/2023,1277.403417,0,1068
430,430,1,1,2,Grand Vitara,8,3894560.999,1289.0001,7/20/2023,-198949.4303,23126.69531,1068
431,431,1,0,2,Grand Vitara,6,54670.9942,1289.0001,5/22/2023,-322503.5582,40755.97972,1068
440,440,1,0,4,Engine_Base,77,78234.543,1450.01,6/20/2024,-41371.0323,0,1068
442,442,1,0,0,Suzuki Swift,35,36,0.01,3/20/2023,74.22327667,0,1068
448,448,1,1,1,Suzuki Swift,65,66345.789,45678.01,6/20/2023,-333.7531355,0,1068
453,453,1,0,0,Engine_Base,32,33,12340.0123,3/20/2023,-1291.849863,0,1068
458,458,1,1,7,Engine_Base,80,815678.435,1450.01,9/20/2024,-40472.1143,0,1068
461,461,2,1,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,37489.063,-2328.935079,1068
466,466,1,0,0,Suzuki Swift,28,29,12340.0123,3/20/2023,104.2472325,0,1068
471,471,1,1,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,-86871.84927,3903.405741,1068
477,477,1,0,2,Grand Vitara,6,54670.9942,1289.0001,5/22/2023,-322503.5582,40755.97972,1068
481,481,1,0,11,Suzuki Swift,84,853456.765,12678.01,1/20/2025,851.5843579,0,1068
485,485,1,1,0,Seltos,30,31,12340.0123,3/20/2023,11077.73033,0,1071
489,489,1,2,0,EXAUST_SYSTEM,64,65,0.01,5/19/2023,-951204.6824,-0.00014901,1071
494,494,1,2,4,Grand Vitara,9,789.6797,1289.0001,6/20/2024,194004718.7,-109260880.9,1071
502,502,1,1,0,Baleno,4,51234.567,5678.01,2/20/2023,3286.400034,0,1071
506,506,1,1,0,Creta,45,46,0.01,3/20/2023,-14444.1487,0,1071
510,510,1,2,1,Grand Vitara,7,56432.60486,1289.0001,6/20/2023,-10358526.79,4339766.502,1071
514,514,1,2,1,Grand Vitara,9,789.6797,1289.0001,3/20/2024,57877146.69,-47589644.79,1071
437,534,3,0,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,1427.286476,-128760.92,1068
269,544,2,0,0,Brezza,73,74567.34567,3456.01,12/27/2023,7436.593407,0,1065
274,575,2,0,0,Grand I20,81,82123,1450.01,9/30/2024,7184.615385,0,1062
275,576,2,0,0,BENZ GLE,85,8612345.568,12678.01,3/31/2025,2574,0,1062
276,577,2,0,0,Grand I20,69,70234.56789,3456.01,10/2/2023,7200,0,1062
294,579,2,0,0,BENZ GLE,84,853456.765,12678.01,12/31/2024,2285.714286,0,1062
273,580,2,0,0,Celerio,1,1.16,0.0001,3/15/2023,640000,0,1061
289,581,2,0,0,BENZ GLE,87,88234.432,12678.01,3/31/2025,2520,0,1062
257,257,1,2,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,16142.34713,-128760.92,1071
257,257,1,2,0,Grand Vitara,4,14567.3,1234.156,2/20/2023,8732.745169,-400.247518,1071
257,257,1,1,0,Baleno,4,51234.567,5678.01,2/20/2023,2381.657773,0,1071
257,257,1,1,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,-5439.145,376.0942491,1071
257,257,1,1,0,Baleno,5,6234.546,5678.01,2/20/2023,2381.657773,0,1071
257,257,1,1,0,Baleno,3,4234.56789,5678.01,2/20/2023,2381.657773,0,1071
257,257,1,1,0,Grand Vitara,4,14567.3,1234.156,2/20/2023,-2401.504922,110.0692316,1071
264,264,1,0,0,Suzuki Swift,90,91768.98,12678.01,6/30/2025,7246.153846,0,1063
265,265,1,0,0,Baleno,81,82123,1450.01,12/27/2023,-7199.999999,0,1065
265,265,1,0,0,Baleno,84,853456.765,12678.01,12/27/2023,-7439.999999,0,1065
265,265,1,0,0,Baleno,75,764567.1234,3456.01,12/27/2023,-7440,0,1065
265,265,1,0,0,Baleno,73,74567.34567,3456.01,12/27/2023,-7440,0,1065
265,265,1,0,0,Baleno,78,79234.678,1450.01,12/27/2023,-7200,0,1065
265,265,1,0,0,Baleno,77,78234.543,1450.01,12/27/2023,-7440,0,1065
265,265,1,0,0,Baleno,76,77345.665,3456.01,12/27/2023,-7200,0,1065
265,265,1,0,0,Baleno,80,815678.435,1450.01,12/27/2023,-7439.999999,0,1065
265,265,1,0,0,Baleno,74,75456.6543,3456.01,12/27/2023,-6960,0,1065
265,265,1,0,0,Baleno,79,809876.456,1450.01,12/27/2023,-7440,0,1065
265,265,1,0,0,Baleno,82,83345.789,1450.01,12/27/2023,-7439.999999,0,1065
267,267,1,0,0,Engine_Base,96,974567.11,110.01,12/31/2025,86195.12195,0,1063
268,268,1,1,0,Suzuki Swift,37,38,0.01,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,36,37,0.01,3/20/2023,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,54,55,134560.01,3/20/2023,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,34,35,12340.0123,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,40,41,0.01,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,41,42,0.01,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,47,48,0.01,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,44,45,0.01,3/20/2023,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,35,36,0.01,3/20/2023,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,30,31,12340.0123,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,42,43,0.01,3/20/2023,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,44,45,0.01,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,30,31,12340.0123,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,33,34,12340.0123,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,65571.66613,-6093.014963,1068
268,268,1,0,0,Suzuki Swift,48,49,0.01,3/20/2023,-834.1253,0,1068
268,268,1,1,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,-81442.918,9399.536066,1068
268,268,1,0,0,Suzuki Swift,43,44,0.01,3/20/2023,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,50,51,134560.01,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,35,36,0.01,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,28,29,12340.0123,3/20/2023,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,49,50,134560.01,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,28,29,12340.0123,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,81442.918,-9399.536066,1068
268,268,1,1,0,Suzuki Swift,55,56,134560.01,3/20/2023,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,29,30,12340.0123,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,34,35,12340.0123,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,41,42,0.01,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,36,37,0.01,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,50,51,134560.01,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,37,38,0.01,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,47,48,0.01,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,42,43,0.01,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,55,56,134560.01,3/20/2023,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,40,41,0.01,3/20/2023,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,54,55,134560.01,3/20/2023,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,51,52,134560.01,3/20/2023,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,43,44,0.01,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,51,52,134560.01,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,33,34,12340.0123,3/20/2023,834.1253,0,1068
268,268,1,1,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,-5571.666,6093.014963,1068
268,268,1,1,0,Suzuki Swift,29,30,12340.0123,3/20/2023,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,49,50,134560.01,3/20/2023,834.1253,0,1068
