Index,Category,Type,Effective_Date,Income_Level,Department,TARGET,Input_Timestamp_UTC
DISCOUNT,Top,average,6-Feb-23,Low,TESTING,SQL Server,1709109264
DISCOUNT,Top,average,6-Feb-23,Low,TESTING,SQL Server,1710234895
DISCOUNT,Top,average,8-Jan-24,Low,TESTING,SQL Server,1709109264
DISCOUNT,Top,average,8-Jan-24,Low,TESTING,SQL Server,1707813327
DISCOUNT,Top,average,6-Mar-23,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Mar-23,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Jan-25,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Jan-25,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Apr-23,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Apr-23,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Jan-26,Low,TESTING,ORACLE,1710234895
DISCOUNT,Backward,medium,6-Jan-26,Low,TESTING,ORACLE,1710234895
DISCOUNT,Backward,medium,6-Jul-23,Low,TESTING,ORACLE,1710234895
DISCOUNT,Backward,High Level,6-Jul-23,Low,TESTING,ORACLE,1710234895
DISCOUNT,Backward,High Level,6-Oct-23,Low,SOFTWARE,ORACLE,1710234895
DISCOUNT,Backward,High Level,6-Oct-23,Low,SOFTWARE,ORACLE,1710234895
FXGBP,Backward,High Level,6-Jan-23,Low,SOFTWARE,ORACLE,1710514841
FXGBP,Backward,High Level,6-Jan-23,Low,SOFTWARE,ORACLE,1723632694
GASOLYN,ENDOWER,High Level,31-Jan-24,TOP,SOFTWARE,ORACLE,1710514846
GASOLYN,ENDOWER,High Level,29-Feb-24,TOP,SOFTWARE,ORACLE,1710514846
GASOLYN,ENDOWER,High Level,31-Mar-24,TOP,SOFTWARE,SYNAPSE,1710514846
GASOLYN,Top,Low Level,30-Apr-24,TOP,SOFTWARE,SYNAPSE,1710514846
GASOLYN,Top,Low Level,31-May-24,TOP,SOFTWARE,SYNAPSE,1710514846
GASOLYN,Top,Low Level,30-Jun-24,TOP,SOFTWARE,SYNAPSE,1710514846
GASOLYN,Top,Low Level,31-Jul-24,TOP,SOFTWARE,SYNAPSE,1710514846
GASOLYN,Backward,Low Level,31-Aug-24,TOP,SOFTWARE,SYNAPSE,1710514846
GASOLYN,Backward,Top Level,30-Sep-24,TOP,SOFTWARE,SYNAPSE,1710514846
GASOLYN,Backward,Top Level,31-Oct-24,TOP,DATA ENGINEER,SYNAPSE,1710514846
GASOLYN,Backward,Top Level,30-Nov-24,TOP,DATA ENGINEER,SYNAPSE,1710514846
GASOLYN,Forward,Top Level,31-Dec-24,TOP,DATA ENGINEER,SYNAPSE,1723478301
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
